85.942586,41.136246
240.0,26.0
1822.0,26.0
1868.0,69.957312
1868.0,133.76513
1865.0,253.62187
1833.1159,321.0
1759.0,353.51831
1166.0,336.0
1104.0,379.0
1104.0,631.0
1013.0,713.0
758.0,713.0
689.0,674.0
666.0,631.0
659.0,424.0
654.0,367.0
624.0,350.0
505.0,350.0
469.0,355.0
432.0,373.0
432.0,632.0
432.0,706.0
497.0,769.0
1131.0,769.0
1215.0,753.0
1256.0,705.0
1249.0,575.0
1276.0,472.0
1368.0,424.0
1809.0,437.0
1868.0,508.0
1865.0,632.0
1809.0,705.0
1745.0,729.77464
1745.0,762.89546
1809.0,793.0
1868.0,842.0
1868.0,989.0
1822.0,1050.3903
1715.1084,1056.0
106.38608,1056.0
72.574434,1023.0
32.895457,966.73781
32.895457,139.89546
